city,state_name,population
Fountain Green,Utah,"1,539.00"
Wellington,Utah,"1,526.00"
Emigration Canyon,Utah,"1,465.00"
Castle Dale,Utah,"1,463.00"
Uintah,Utah,"1,461.00"
Mendon,Utah,"1,446.00"
Woodland Hills,Utah,"1,439.00"
Carbonville,Utah,"1,410.00"
Milford,Utah,"1,400.00"
Apple Valley,Utah,"1,399.00"
Fairview,Utah,"1,389.00"
Honeyville,Utah,"1,383.00"
South Willard,Utah,"1,378.00"
West Mountain,Utah,"1,371.00"
Ferron,Utah,"1,361.00"
Liberty,Utah,"1,333.00"
Centerfield,Utah,"1,312.00"
Hildale,Utah,"1,301.00"
Orangeville,Utah,"1,281.00"
Wendover,Utah,"1,264.00"
Lake Shore,Utah,"1,242.00"
Riverside,Utah,"1,238.00"
Moroni,Utah,"1,238.00"
Hideout,Utah,"1,111.00"
Spring City,Utah,"1,094.00"
Thatcher,Utah,"1,094.00"
Timber Lakes,Utah,966.00
Dammeron Valley,Utah,962.00
Daniel,Utah,956.00
Eureka,Utah,941.00
Spanish Valley,Utah,925.00
Spring Glen,Utah,925.00
Minersville,Utah,901.00
Rocky Ridge,Utah,901.00
Newton,Utah,899.00
Stockton,Utah,897.00
Levan,Utah,886.00
Aurora,Utah,881.00
Eden,Utah,873.00
Orderville,Utah,865.00
Copperton,Utah,865.00
Bear River City,Utah,863.00
Henefer,Utah,855.00
Corinne,Utah,836.00
Goshen,Utah,833.00
West Wood,Utah,833.00
Hinckley,Utah,832.00
Granite,Utah,813.00
Paradise,Utah,806.00
Green River,Utah,804.00
